player_id,goals,assists,turnovers,year_level
Player_1,33,13,14,Freshman
Player_2,24,38,29,Senior
Player_3,25,38,14,Senior
Player_4,41,16,6,Junior
Player_5,11,5,25,Junior
Player_6,41,12,5,Sophomore
Player_7,37,18,28,Junior
Player_8,26,7,22,Junior
Player_9,22,32,6,Junior
Player_10,40,32,29,Junior
Player_11,40,15,24,Freshman
Player_12,46,24,8,Senior
Player_13,37,23,22,Sophomore
Player_14,36,24,11,Freshman
Player_15,41,15,16,Junior
Player_16,38,38,9,Junior
Player_17,41,33,24,Junior
Player_18,20,29,10,Junior
Player_19,42,14,8,Freshman
Player_20,45,5,20,Junior
Player_21,11,28,16,Junior
Player_22,31,26,6,Senior
Player_23,46,19,19,Junior
Player_24,44,14,14,Freshman
Player_25,44,29,7,Senior
Player_26,15,17,5,Sophomore
Player_27,23,23,21,Sophomore
Player_28,19,9,14,Junior
Player_29,22,31,15,Senior
Player_30,22,22,21,Sophomore
Player_31,37,38,13,Freshman
Player_32,30,19,9,Senior
Player_33,48,27,16,Senior
Player_34,27,7,14,Freshman
Player_35,32,10,27,Senior
Player_36,46,38,23,Junior
Player_37,44,16,16,Senior
Player_38,10,39,27,Junior
Player_39,43,19,10,Sophomore
Player_40,21,27,24,Freshman
Player_41,39,38,30,Junior
Player_42,26,25,20,Sophomore
Player_43,29,5,29,Freshman
Player_44,30,10,18,Freshman
Player_45,35,34,15,Junior
Player_46,48,7,26,Sophomore
Player_47,41,27,30,Junior
Player_48,14,8,5,Sophomore
Player_49,47,14,16,Senior
Player_50,41,35,16,Sophomore
Player_51,14,27,18,Junior
Player_52,28,31,10,Junior
Player_53,50,18,8,Junior
Player_54,41,29,17,Freshman
Player_55,29,6,26,Junior
Player_56,30,36,25,Junior
Player_57,50,8,9,Junior
Player_58,42,35,8,Freshman
Player_59,49,14,15,Junior
Player_60,12,39,29,Sophomore
Player_61,35,26,30,Freshman
Player_62,37,5,27,Freshman
Player_63,41,24,10,Junior
Player_64,32,11,21,Senior
Player_65,20,31,29,Freshman
Player_66,38,26,18,Junior
Player_67,41,11,21,Senior
Player_68,37,33,29,Senior
Player_69,34,13,22,Sophomore
Player_70,49,15,14,Freshman
Player_71,25,18,9,Freshman
Player_72,19,8,27,Sophomore
Player_73,34,8,13,Junior
Player_74,34,19,24,Sophomore
Player_75,21,19,8,Senior
Player_76,21,40,20,Freshman
Player_77,16,15,19,Junior
Player_78,23,13,16,Freshman
Player_79,21,39,20,Junior
Player_80,33,19,25,Junior
Player_81,24,9,30,Junior
Player_82,25,11,21,Freshman
Player_83,35,22,10,Junior
Player_84,34,32,14,Sophomore
Player_85,23,30,21,Freshman
Player_86,37,6,6,Junior
Player_87,34,22,15,Senior
Player_88,48,29,26,Freshman
Player_89,39,29,9,Senior
Player_90,15,37,26,Senior
Player_91,22,8,22,Freshman
Player_92,43,23,13,Freshman
Player_93,38,7,23,Sophomore
Player_94,11,29,22,Freshman
Player_95,24,35,20,Senior
Player_96,35,26,11,Freshman
Player_97,11,6,14,Junior
Player_98,23,29,26,Sophomore
Player_99,31,21,7,Senior
Player_100,40,9,5,Senior
